sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary
train-0085,train,lhs,1631,115,1664,176,758,2713
train-0086,train,lhs,1903,1637,67,1152,175,3031
train-0087,train,lhs,2143,113,1460,487,1391,3451
train-0088,train,dr-edge-versatility,1867,430,137,455,2573,3595
train-0089,train,lhs,2220,460,520,159,1982,3121
train-0090,train,lhs,1758,509,216,1122,1354,3201
train-0091,train,lhs,2243,1092,820,406,1066,3384
train-0092,train,lhs,2223,142,127,1613,791,2673
train-0093,train,lhs,2168,706,1059,328,715,2808
train-0094,train,lhs,2110,67,944,1496,432,2939
train-0095,train,lhs,1940,1034,1270,519,425,3248
train-0096,train,dr-edge-crit,1728,3133,198,87,304,3722
train-0097,train,lhs,2128,1068,426,314,1724,3532
train-0098,train,lhs,2241,1042,1210,294,848,3394
train-0099,train,lhs,1660,72,1639,237,673,2621
train-0100,train,lhs,1649,608,189,1396,915,3108
train-0101,train,lhs,1941,1387,448,60,1926,3821
train-0102,train,lhs,2263,217,1623,331,538,2709
train-0103,train,lhs,2064,477,2,1706,1068,3253
train-0104,train,dr-edge-haste,1751,222,2670,617,333,3842
train-0105,train,lhs,1877,854,99,1099,874,2926
train-0106,train,lhs,1850,747,1610,248,834,3439
train-0107,train,lhs,2119,813,1741,1292,35,3881
train-0108,train,lhs,1635,585,1525,408,1311,3829
train-0109,train,lhs,2100,532,658,1428,170,2788
train-0110,train,lhs,1949,53,144,567,1952,2716
train-0111,train,lhs,2274,118,2041,825,729,3713
train-0112,train,dr-edge-mastery,1632,211,82,2042,330,2665
train-0113,train,lhs,2001,732,384,320,1824,3260
train-0114,train,lhs,1796,255,2457,506,273,3491
train-0115,train,lhs,1900,1012,355,1169,165,2701
train-0116,train,lhs,1809,777,1912,494,133,3316
train-0117,train,lhs,2090,431,1226,639,568,2864
train-0118,train,lhs,1841,970,114,1091,968,3143
train-0119,train,lhs,1951,212,840,1833,487,3372
train-0120,train,dr-edge-versatility,1734,525,70,349,2302,3246
train-0121,train,lhs,1805,466,676,1236,690,3068
train-0122,train,lhs,1612,1553,200,1204,247,3204
train-0123,train,lhs,1828,986,2248,370,104,3708
train-0124,train,lhs,1715,2442,47,72,438,2999
train-0125,train,lhs,1923,90,438,2641,169,3338
train-0126,train,lhs,2061,474,156,2275,118,3023
train-0127,train,lhs,1621,93,362,997,2051,3503
train-0128,train,dr-edge-crit,2137,2381,37,224,239,2881
train-0129,train,lhs,2279,673,547,1117,899,3236
train-0130,train,lhs,2180,505,783,365,981,2634
train-0131,train,lhs,2224,1512,185,444,618,2759
train-0132,train,lhs,1698,83,1397,713,861,3054
train-0133,train,lhs,1931,833,854,1673,401,3761
train-0134,train,lhs,2249,2,340,2361,95,2798
train-0135,train,lhs,2086,1182,968,482,242,2874
train-0136,train,dr-edge-haste,1787,261,2601,311,259,3432
train-0137,train,lhs,1862,393,996,190,1226,2805
train-0138,train,lhs,2169,577,179,2757,86,3599
train-0139,train,lhs,1925,1228,559,176,1164,3127
train-0140,train,lhs,2040,559,382,1933,645,3519
train-0141,train,lhs,2206,434,530,1734,918,3616
train-0142,train,lhs,1747,1083,360,28,1699,3170
train-0143,train,lhs,1939,2012,309,722,563,3606
train-0144,train,dr-edge-mastery,1851,103,143,2440,329,3015
train-0145,train,lhs,2087,1020,527,233,1487,3267
train-0146,train,lhs,1914,776,1287,554,985,3602
train-0147,train,lhs,2181,1139,106,502,922,2669
train-0148,train,lhs,1780,112,1225,505,1902,3744
train-0149,train,lhs,2044,1160,1563,184,196,3103
train-0150,train,lhs,2008,571,382,1970,399,3322
train-0151,train,lhs,1740,447,162,123,2140,2872
train-0152,train,dr-edge-versatility,2131,60,309,176,2997,3542
train-0153,train,lhs,2237,1675,22,986,472,3155
train-0154,train,lhs,1937,2657,291,40,754,3742
train-0155,train,lhs,1647,359,341,1754,1338,3792
train-0156,train,lhs,1661,627,261,344,2357,3589
train-0157,train,lhs,2198,4,248,2105,1106,3463
train-0158,train,lhs,2209,1273,915,1113,590,3891
train-0159,train,lhs,2173,279,21,58,2259,2617
train-0160,train,dr-edge-crit,1865,2256,573,334,132,3295
train-0161,train,lhs,1792,391,887,780,947,3005
train-0162,train,lhs,1857,1596,401,4,1648,3649
train-0163,train,lhs,1807,378,44,487,2494,3403
train-0164,train,lhs,1681,678,278,813,1070,2839
train-0165,train,lhs,2229,2714,898,114,119,3845
train-0166,train,lhs,2245,1057,469,1622,563,3711
train-0167,train,lhs,1840,1406,675,530,789,3400
train-0168,train,dr-edge-haste,2053,305,2006,123,293,2727
train-0169,train,lhs,1603,197,901,962,1128,3188
train-0170,train,lhs,1816,492,2672,36,135,3335
train-0171,train,lhs,1772,255,671,97,2259,3282
train-0172,train,lhs,2278,1090,359,726,520,2695
train-0173,train,lhs,2083,73,2312,563,907,3855
train-0174,train,lhs,1868,341,2673,357,42,3413
train-0175,train,lhs,2159,892,85,1021,1670,3668
train-0176,train,dr-edge-mastery,2284,147,170,2793,187,3297
train-0177,train,lhs,2022,349,1415,91,1616,3471
train-0178,train,lhs,1653,1599,345,1232,305,3481
train-0179,train,lhs,2163,183,2824,371,92,3470
train-0180,train,lhs,2105,1620,749,54,933,3356
train-0181,train,lhs,1905,629,317,1996,158,3100
train-0182,train,lhs,2108,816,1280,741,538,3375
train-0183,train,lhs,1745,327,1028,2051,286,3692
train-0184,train,dr-edge-versatility,1872,289,141,373,2282,3085
train-0185,train,lhs,1859,2136,1007,386,37,3566
train-0186,train,lhs,2035,867,368,133,1986,3354
train-0187,train,lhs,2046,30,1370,364,1215,2979
train-0188,train,lhs,2021,411,708,772,889,2780
train-0189,train,lhs,1703,1876,337,201,746,3160
train-0190,train,lhs,1651,434,310,1718,588,3050
train-0191,train,lhs,1843,108,2418,173,177,2876
train-0192,train,dr-edge-crit,1810,1942,261,420,166,2789
train-0193,train,lhs,1967,2111,20,823,733,3687
train-0194,train,lhs,1693,2394,303,562,335,3594
train-0195,train,lhs,1916,104,591,1989,54,2738
train-0196,train,lhs,1975,594,1187,1080,646,3507
train-0197,train,lhs,2191,207,112,1968,1039,3326
train-0198,train,lhs,1977,1070,1940,310,318,3638
train-0199,train,lhs,2230,219,1648,338,1068,3273
train-0200,train,dr-edge-haste,1910,231,2312,137,90,2770
train-0201,train,lhs,2074,811,821,450,834,2916
train-0202,train,lhs,2185,184,2814,280,345,3623
train-0203,train,lhs,1738,1423,385,602,334,2744
train-0204,train,lhs,1971,138,321,894,1338,2691
train-0205,train,lhs,2134,549,2298,118,398,3363
train-0206,train,lhs,1767,419,15,3125,161,3720
train-0207,train,lhs,1666,1048,320,1029,488,2885
train-0208,train,dr-edge-mastery,2066,291,246,2044,82,2663
train-0209,train,lhs,1689,464,2630,460,90,3644
train-0210,train,lhs,2178,907,66,60,2832,3865
train-0211,train,lhs,1671,242,227,1784,871,3124
train-0212,train,lhs,2240,593,224,2373,187,3377
train-0213,train,lhs,1920,177,1449,2226,10,3862
train-0214,train,lhs,2012,2655,266,329,326,3576
train-0215,train,lhs,2014,311,1202,1554,141,3208
train-0216,train,dr-edge-versatility,2216,225,237,178,1989,2629
train-0217,train,lhs,2048,1353,1810,695,17,3875
train-0218,train,lhs,1649,171,1769,1229,248,3417
train-0219,train,lhs,1676,467,1088,602,989,3146
train-0220,train,lhs,1784,1099,406,312,1471,3288
train-0221,train,lhs,1920,1088,867,210,863,3028
train-0222,train,lhs,2024,117,1015,1671,154,2957
train-0223,train,lhs,1696,810,617,369,1073,2869
train-0224,train,dr-edge-crit,1721,2812,361,187,368,3728
train-0225,train,lhs,1846,215,1173,408,926,2722
train-0226,train,lhs,2150,236,1378,65,1611,3290
train-0227,train,lhs,1871,783,2424,302,143,3652
train-0228,train,lhs,2038,58,1239,685,992,2974
train-0229,train,lhs,2068,694,53,23,3098,3868
train-0230,train,lhs,1956,928,335,1820,274,3357
train-0231,train,lhs,1893,276,2005,830,698,3809
train-0232,train,dr-edge-haste,1627,193,2339,87,145,2764
train-0233,train,lhs,1684,1155,564,956,297,2972
train-0234,train,lhs,2192,274,425,1889,54,2642
train-0235,train,lhs,2031,469,761,884,1702,3816
train-0236,train,lhs,2195,35,1388,1334,768,3525
train-0237,train,lhs,1787,676,1176,2020,27,3899
train-0238,train,lhs,2257,161,640,1844,669,3314
train-0239,train,lhs,1731,1,2079,867,244,3191
train-0240,train,dr-edge-mastery,2208,328,152,2507,179,3166
train-0241,train,lhs,1755,294,1251,155,1050,2750
train-0242,train,lhs,1617,503,189,94,1990,2776
train-0243,train,lhs,1625,150,2495,197,430,3272
train-0244,train,lhs,1798,1607,335,1346,547,3835
train-0245,train,lhs,1655,1633,438,247,338,2656
train-0246,train,lhs,1645,135,1898,274,601,2908
train-0247,train,lhs,1991,2712,431,512,29,3684
train-0248,train,dr-edge-versatility,2161,212,99,142,2184,2637
train-0249,train,lhs,2213,183,143,1181,1322,2829
train-0250,train,lhs,1640,1276,833,225,673,3007
train-0251,train,lhs,1680,38,196,609,1843,2686
train-0252,train,lhs,2084,1170,471,181,1312,3134
train-0253,train,lhs,1978,380,660,466,1352,2858
train-0254,train,lhs,2037,1076,241,815,800,2932
train-0255,train,lhs,1931,1031,493,1317,21,2862
train-0256,train,dr-edge-crit,2015,2628,603,376,158,3765
train-0257,train,lhs,1735,822,4,1561,1292,3679
train-0258,train,lhs,2129,2208,768,169,341,3486
train-0259,train,lhs,2030,373,1929,787,712,3801
train-0260,train,lhs,2201,1410,321,1448,282,3461
train-0261,train,lhs,1888,730,498,223,1869,3320
train-0262,train,lhs,1927,1938,127,15,902,2982
train-0263,train,lhs,1706,44,644,717,1362,2767
train-0264,train,dr-edge-haste,2253,471,2389,81,451,3392
train-0265,train,lhs,1984,791,442,1063,779,3075
train-0266,train,lhs,2049,1026,1045,74,704,2849
train-0267,train,lhs,2260,176,712,1544,679,3111
train-0268,train,lhs,1964,487,1776,51,573,2887
train-0269,train,lhs,1823,696,2030,110,373,3209
train-0270,train,lhs,1884,1358,147,1785,130,3420
train-0271,train,lhs,1999,197,754,409,1457,2817
train-0272,train,dr-edge-mastery,2020,471,316,2665,398,3850
train-0273,train,lhs,1990,62,1184,1171,194,2611
train-0274,train,lhs,2228,681,112,930,2104,3827
train-0275,train,lhs,1783,110,808,898,1105,2921
train-0276,train,lhs,1896,891,1679,599,337,3506
train-0277,train,lhs,1961,125,421,1448,1226,3220
train-0278,train,lhs,1899,337,110,1409,1634,3490
train-0279,train,lhs,1885,1150,631,858,541,3180
train-0280,train,dr-edge-versatility,2003,133,294,181,3277,3885
train-0281,train,lhs,2175,2253,9,200,732,3194
train-0282,train,lhs,2287,391,830,1942,64,3227
train-0283,train,lhs,1997,2421,445,691,15,3572
train-0284,train,lhs,2101,532,1896,361,161,2950
train-0285,train,lhs,1859,79,1038,301,1306,2724
train-0286,train,lhs,2172,744,1563,6,831,3144
train-0287,train,lhs,1691,92,450,1507,1047,3096
train-0288,train,dr-edge-crit,2298,2871,384,430,92,3777
train-0289,train,lhs,2232,613,882,674,513,2682
train-0290,train,lhs,2060,1057,1602,338,216,3213
train-0291,train,lhs,1611,147,1582,575,1077,3381
train-0292,train,lhs,2094,1102,542,1567,559,3770
train-0293,train,lhs,1883,692,1369,440,1020,3521
train-0294,train,lhs,2033,401,339,1590,740,3070
train-0295,train,lhs,2124,935,1237,311,119,2602
train-0296,train,dr-edge-haste,2270,316,2498,406,90,3310
train-0297,train,lhs,2140,1657,69,319,865,2910
train-0298,train,lhs,2136,605,331,934,950,2820
train-0299,train,lhs,1636,904,493,957,449,2803
train-0300,train,lhs,1724,191,1677,940,703,3511
train-0301,train,lhs,2147,901,14,696,2020,3631
train-0302,train,lhs,1902,650,266,522,1700,3138
train-0303,train,lhs,2205,18,1637,1484,162,3301
train-0304,train,dr-edge-mastery,2153,279,371,1996,168,2814
train-0305,train,lhs,1881,119,1027,950,1442,3538
train-0306,train,lhs,1710,811,850,1724,363,3748
train-0307,train,lhs,1986,182,1304,660,778,2924
train-0308,train,lhs,2069,266,1735,189,1239,3429
train-0309,train,lhs,1656,352,992,400,1808,3552
train-0310,train,lhs,2152,273,959,576,2015,3823
train-0311,train,lhs,2261,1654,78,1688,377,3797
train-0312,train,dr-edge-versatility,1718,373,479,147,2758,3757
train-0313,train,lhs,2029,455,1614,910,60,3039
train-0314,train,lhs,2079,485,264,2045,472,3266
train-0315,train,lhs,1952,72,438,2429,619,3558
train-0316,train,lhs,2005,2186,255,262,245,2948
train-0317,train,lhs,2295,1731,236,196,569,2732
train-0318,train,lhs,1763,2482,337,390,157,3366
train-0319,train,lhs,1771,1585,168,448,975,3176
train-0320,train,dr-edge-crit,1819,2228,165,355,264,3012
train-0321,train,lhs,1972,657,823,1033,476,2989
train-0322,train,lhs,2127,1028,1125,401,1285,3839
train-0323,train,lhs,1658,337,425,1013,967,2742
train-0324,train,lhs,2103,972,1366,961,124,3423
train-0325,train,lhs,2063,1761,198,813,335,3107
train-0326,train,lhs,2058,13,368,2530,878,3789
train-0327,train,lhs,1779,1200,942,152,1515,3809
train-0328,train,dr-edge-haste,2234,340,2326,181,116,2963
train-0329,train,lhs,1793,1008,1288,136,458,2890
train-0330,train,lhs,1802,397,2040,81,948,3466
train-0331,train,lhs,2090,1263,49,712,670,2694
train-0332,train,lhs,1677,308,943,2130,205,3586
train-0333,train,lhs,2284,162,2617,202,757,3738
train-0334,train,lhs,1987,569,496,136,1817,3018
train-0335,train,lhs,1833,133,1990,92,534,2749
train-0336,train,dr-edge-mastery,1863,538,256,2897,103,3794
train-0337,train,lhs,1843,2234,122,127,864,3347
train-0338,train,lhs,1765,1214,1067,366,14,2661
train-0339,train,lhs,1874,2076,210,601,196,3083
train-0340,train,lhs,2219,780,894,248,725,2647
train-0341,train,lhs,1737,907,436,638,1518,3499
train-0342,train,lhs,2146,1238,418,732,1415,3803
train-0343,train,lhs,1944,170,104,1001,2354,3629
train-0344,train,dr-edge-versatility,1879,305,460,277,2395,3437
train-0345,train,lhs,1995,3100,368,18,327,3813
train-0346,train,lhs,1700,35,733,1382,702,2852
train-0347,train,lhs,1890,107,217,15,3514,3853
train-0348,train,lhs,2203,828,183,1203,399,2613
train-0349,train,lhs,1749,446,1581,912,365,3304
train-0350,train,lhs,1619,406,1850,610,350,3216
train-0351,train,lhs,1607,1268,1007,397,151,2823
train-0352,train,dr-edge-crit,1800,2896,316,186,283,3681
train-0353,train,lhs,2133,313,351,2425,473,3562
train-0354,train,lhs,1909,601,2771,192,139,3703
train-0355,train,lhs,1963,1188,461,822,523,2994
train-0356,train,lhs,1831,926,122,202,1793,3043
train-0357,train,lhs,2247,24,87,1046,1635,2792
train-0358,train,lhs,1948,299,63,155,2997,3514
train-0359,train,lhs,1705,49,136,1707,1605,3497
train-0360,train,dr-edge-haste,1992,158,3100,39,367,3664
train-0361,train,lhs,2293,1300,130,165,1737,3332
train-0362,train,lhs,2097,683,557,628,1225,3093
train-0363,train,lhs,1642,379,22,429,1823,2653
train-0364,train,lhs,1743,1532,162,825,1137,3656
train-0365,train,lhs,2252,625,883,1040,152,2700
train-0366,train,lhs,1668,2183,1354,292,48,3877
train-0367,train,lhs,2018,2127,522,32,55,2736
train-0368,train,dr-edge-mastery,1812,281,272,2241,165,2959
train-0369,train,lhs,1605,65,1223,255,1808,3351
train-0370,train,lhs,2092,911,380,711,1060,3062
train-0371,train,lhs,1701,1492,921,468,315,3196
train-0372,train,lhs,2026,579,306,1894,279,3058
train-0373,train,lhs,1960,1375,9,622,779,2785
train-0374,train,lhs,2113,1054,567,939,1048,3608
train-0375,train,lhs,1638,667,1772,1008,30,3477
train-0376,train,dr-edge-versatility,2276,184,288,167,2352,2991
train-0377,train,lhs,2292,1066,524,926,126,2642
train-0378,train,lhs,1837,540,1454,48,636,2678
train-0379,train,lhs,1973,2348,301,482,493,3624
train-0380,train,lhs,2188,858,698,661,393,2610
train-0381,train,lhs,2211,523,106,1980,437,3046
train-0382,train,lhs,2271,1281,1914,427,104,3726
train-0383,train,lhs,2265,1029,552,1359,458,3398
train-0384,train,dr-edge-crit,1687,2427,168,145,156,2896
train-0385,train,lhs,1945,411,771,1913,353,3448
train-0386,train,lhs,1769,1540,1575,273,1,3389
train-0387,train,lhs,1746,665,929,922,635,3151
train-0388,train,lhs,2188,3144,128,171,215,3658
train-0389,train,lhs,2267,15,2552,750,163,3480
train-0390,train,lhs,1894,1131,299,1058,733,3221
train-0391,train,lhs,2217,1351,79,112,2093,3635
train-0392,train,dr-edge-haste,1673,61,1951,481,212,2705
train-0393,train,lhs,1624,246,657,1179,1195,3277
train-0394,train,lhs,1606,1514,838,81,823,3256
train-0395,train,lhs,2077,1401,1794,118,328,3641
train-0396,train,lhs,1854,1381,430,1425,4,3240
train-0397,train,lhs,2115,169,1524,842,261,2796
train-0398,train,lhs,1908,1707,139,281,775,2902
train-0399,train,lhs,1997,1021,30,1308,1203,3562
validation-0000,validation,dr-edge-crit,1936,2612,630,152,442,3836
validation-0001,validation,lhs,1673,458,1457,1202,635,3752
validation-0002,validation,lhs,2251,760,125,1540,1012,3437
validation-0003,validation,lhs,2122,674,665,1576,425,3340
validation-0004,validation,lhs,2174,1165,677,1340,705,3887
validation-0005,validation,lhs,1642,542,313,960,1818,3633
validation-0006,validation,lhs,1951,1135,69,189,1260,2653
validation-0007,validation,lhs,1665,519,73,2000,542,3134
validation-0008,validation,dr-edge-haste,1896,117,2718,360,134,3329
validation-0009,validation,lhs,1752,2207,299,203,1104,3813
validation-0010,validation,lhs,2240,1566,868,767,191,3392
validation-0011,validation,lhs,1701,1712,435,8,787,2942
validation-0012,validation,lhs,2157,259,1762,50,1652,3723
validation-0013,validation,lhs,2059,1184,574,193,975,2926
validation-0014,validation,lhs,1888,1348,911,175,192,2626
validation-0015,validation,lhs,1668,277,185,932,2274,3668
validation-0016,validation,dr-edge-mastery,2143,178,536,2487,249,3450
validation-0017,validation,lhs,1651,619,95,120,2212,3046
validation-0018,validation,lhs,1836,821,1685,1009,6,3521
validation-0019,validation,lhs,1834,1560,415,894,232,3101
validation-0020,validation,lhs,2186,598,2055,75,972,3700
validation-0021,validation,lhs,1991,129,262,2138,841,3370
validation-0022,validation,lhs,1876,2067,908,481,58,3514
validation-0023,validation,lhs,2199,711,443,463,1430,3047
validation-0024,validation,dr-edge-versatility,1928,284,109,177,2855,3425
validation-0025,validation,lhs,1849,532,1664,1091,273,3560
validation-0026,validation,lhs,1987,88,1584,687,257,2616
validation-0027,validation,lhs,2047,94,2567,130,488,3279
validation-0028,validation,lhs,2173,1305,192,1923,204,3624
validation-0029,validation,lhs,2213,1201,1049,694,122,3066
validation-0030,validation,lhs,1716,1414,19,1410,239,3082
validation-0031,validation,lhs,1844,299,1416,464,838,3017
validation-0032,validation,dr-edge-crit,2098,2382,212,254,120,2968
validation-0033,validation,lhs,1997,446,714,1539,184,2883
validation-0034,validation,lhs,1854,760,473,757,686,2676
validation-0035,validation,lhs,1690,3,2273,117,1201,3594
validation-0036,validation,lhs,2258,471,567,1854,256,3148
validation-0037,validation,lhs,2031,425,1731,188,567,2911
validation-0038,validation,lhs,2287,271,1631,182,927,3011
validation-0039,validation,lhs,1616,494,335,1155,763,2747
validation-0040,validation,dr-edge-haste,1623,167,2105,203,159,2634
validation-0041,validation,lhs,2054,1102,614,790,582,3088
validation-0042,validation,lhs,1963,1234,1436,91,354,3115
validation-0043,validation,lhs,1883,1369,531,584,737,3221
validation-0044,validation,lhs,1683,866,1313,351,539,3069
validation-0045,validation,lhs,1726,594,533,118,1587,2832
validation-0046,validation,lhs,2066,336,1212,1810,538,3896
validation-0047,validation,lhs,1705,162,325,299,2407,3193
validation-0048,validation,dr-edge-mastery,1907,148,242,2111,254,2755
validation-0049,validation,lhs,1798,2504,861,115,13,3493
validation-0050,validation,lhs,1905,72,278,1237,1660,3247
validation-0051,validation,lhs,2268,261,57,991,1718,3027
validation-0052,validation,lhs,1865,679,413,1959,529,3580
validation-0053,validation,lhs,1813,360,2280,28,336,3004
validation-0054,validation,lhs,1814,153,751,243,2637,3784
validation-0055,validation,lhs,2151,1228,937,579,517,3261
validation-0056,validation,dr-edge-versatility,2096,125,440,181,2548,3294
validation-0057,validation,lhs,1807,786,720,759,1037,3302
validation-0058,validation,lhs,2033,808,1227,132,654,2821
validation-0059,validation,lhs,2232,1103,811,1719,190,3823
validation-0060,validation,lhs,2278,742,1089,674,295,2800
validation-0061,validation,lhs,2294,1091,386,505,747,2729
validation-0062,validation,lhs,2131,108,1467,1424,606,3605
validation-0063,validation,lhs,2266,655,504,333,1497,2989
validation-0064,validation,dr-edge-crit,1959,2003,235,325,358,2921
validation-0065,validation,lhs,2113,1480,131,1039,40,2690
validation-0066,validation,lhs,2195,948,53,1900,967,3868
validation-0067,validation,lhs,1940,338,683,1640,228,2889
validation-0068,validation,lhs,2183,53,998,244,2022,3317
validation-0069,validation,lhs,1606,1139,1035,51,1185,3410
validation-0070,validation,lhs,1795,411,163,2136,96,2806
validation-0071,validation,lhs,1732,166,686,1211,1148,3211
validation-0072,validation,dr-edge-haste,1926,179,2478,312,317,3286
validation-0073,validation,lhs,2091,155,321,2950,181,3607
validation-0074,validation,lhs,2072,879,1476,1291,227,3873
validation-0075,validation,lhs,1826,1160,97,611,1940,3808
validation-0076,validation,lhs,1622,1245,1958,2,143,3348
validation-0077,validation,lhs,2010,675,384,820,830,2709
validation-0078,validation,lhs,1978,618,205,707,2328,3858
validation-0079,validation,lhs,2017,335,787,1101,428,2651
validation-0080,validation,dr-edge-mastery,2169,436,179,2809,221,3645
validation-0081,validation,lhs,2161,179,1012,1391,592,3174
validation-0082,validation,lhs,1638,473,229,1647,551,2900
validation-0083,validation,lhs,2077,790,2047,85,618,3540
validation-0084,validation,lhs,1725,16,2410,446,601,3473
validation-0085,validation,lhs,2204,472,307,276,2099,3154
validation-0086,validation,lhs,2141,316,887,728,1275,3206
validation-0087,validation,lhs,2129,209,630,2436,457,3732
validation-0088,validation,dr-edge-versatility,1601,550,185,188,2772,3695
validation-0089,validation,lhs,2026,994,13,284,1481,2772
validation-0090,validation,lhs,1656,1371,299,364,1327,3361
validation-0091,validation,lhs,1743,77,1188,1324,1172,3761
validation-0092,validation,lhs,2011,1414,782,271,228,2695
validation-0093,validation,lhs,2276,346,1204,1233,454,3237
validation-0094,validation,lhs,2209,1176,1052,243,1059,3530
validation-0095,validation,lhs,1857,2146,6,89,1018,3259
validation-0096,validation,dr-edge-crit,1631,2345,375,161,72,2953
validation-0097,validation,lhs,1742,1750,832,1091,169,3842
validation-0098,validation,lhs,1870,602,2043,451,552,3648
validation-0099,validation,lhs,1711,270,63,80,3155,3568
validation-0100,validation,lhs,1695,661,696,1862,194,3413
validation-0101,validation,lhs,1769,1667,33,883,153,2736
validation-0102,validation,lhs,1787,1161,791,530,359,2841
validation-0103,validation,lhs,1782,1407,187,341,1252,3187
validation-0104,validation,dr-edge-haste,1680,30,2945,224,284,3483
validation-0105,validation,lhs,2114,408,813,1039,458,2718
validation-0106,validation,lhs,1945,143,513,1852,470,2978
validation-0107,validation,lhs,1972,560,717,1459,133,2869
